age,yr,cohort,L,D,rate,y,country,gender
50.0,1990.0,1940.0,0,0,0.003100303503055573,-5.776255268071866,SB1,Female
51.0,1990.0,1939.0,0,0,0.003361939598471292,-5.695237210108533,SB1,Female
52.0,1990.0,1938.0,0,0,0.00370242868271478,-5.598766273934969,SB1,Female
53.0,1990.0,1937.0,0,0,0.003941852139272428,-5.536104580018402,SB1,Female
54.0,1990.0,1936.0,0,0,0.004553077389226608,-5.3919519253598,SB1,Female
55.0,1990.0,1935.0,0,0,0.004852700940492864,-5.328219834094208,SB1,Female
56.0,1990.0,1934.0,0,0,0.005491236671192443,-5.20460178995837,SB1,Female
57.0,1990.0,1933.0,0,0,0.006145795517976176,-5.091987086576404,SB1,Female
58.0,1990.0,1932.0,0,0,0.0069285987929344345,-4.972097680606121,SB1,Female
59.0,1990.0,1931.0,0,0,0.007926807132159527,-4.837504955918943,SB1,Female
60.0,1990.0,1930.0,0,0,0.00835748974632468,-4.7845971665538505,SB1,Female
61.0,1990.0,1929.0,0,0,0.009477279410338902,-4.658857985934191,SB1,Female
62.0,1990.0,1928.0,0,0,0.010676358659523147,-4.5397234530694295,SB1,Female
63.0,1990.0,1927.0,0,0,0.01197558284744446,-4.424885464849188,SB1,Female
64.0,1990.0,1926.0,0,0,0.01335501814052402,-4.3158630740891235,SB1,Female
65.0,1990.0,1925.0,0,0,0.01393907012313762,-4.273059581531953,SB1,Female
66.0,1990.0,1924.0,0,0,0.015964511097722636,-4.137387076665278,SB1,Female
67.0,1990.0,1923.0,0,0,0.01657886464194264,-4.099626609186473,SB1,Female
68.0,1990.0,1922.0,0,0,0.018971858839772045,-3.9647985114450384,SB1,Female
69.0,1990.0,1921.0,0,0,0.022113059648637783,-3.811586910663863,SB1,Female
70.0,1990.0,1920.0,0,0,0.025615295782627903,-3.6645656144147005,SB1,Female
71.0,1990.0,1919.0,0,0,0.029182514198828266,-3.5341855778847338,SB1,Female
72.0,1990.0,1918.0,0,0,0.030740423169441023,-3.4821767748818253,SB1,Female
73.0,1990.0,1917.0,0,0,0.03570088872366654,-3.3325796962860483,SB1,Female
74.0,1990.0,1916.0,0,0,0.04080229243681506,-3.1990170119736216,SB1,Female
75.0,1990.0,1915.0,0,0,0.047117028451900994,-3.0551208050420513,SB1,Female
76.0,1990.0,1914.0,0,0,0.05369137566071665,-2.9245028925865273,SB1,Female
77.0,1990.0,1913.0,0,0,0.06227516613481301,-2.776192550076504,SB1,Female
78.0,1990.0,1912.0,0,0,0.06842360532561673,-2.6820374067897306,SB1,Female
79.0,1990.0,1911.0,0,0,0.0727288807251161,-2.6210167143866556,SB1,Female
80.0,1990.0,1910.0,0,0,0.07929502037080485,-2.534579947132623,SB1,Female
81.0,1990.0,1909.0,0,0,0.08748600724491779,-2.436276415607627,SB1,Female
82.0,1990.0,1908.0,0,0,0.1020122480878432,-2.2826623936142267,SB1,Female
83.0,1990.0,1907.0,0,0,0.11723089862948455,-2.1436097964028757,SB1,Female
84.0,1990.0,1906.0,0,0,0.13308673122540904,-2.0167542488178762,SB1,Female
50.0,1991.0,1941.0,0,0,0.003146491263716702,-5.761467331509419,SB1,Female
51.0,1991.0,1940.0,0,0,0.0034204569588081094,-5.677981123146555,SB1,Female
52.0,1991.0,1939.0,0,0,0.003569771145729441,-5.635253790083084,SB1,Female
53.0,1991.0,1938.0,0,0,0.003953903802852802,-5.533051883600786,SB1,Female
54.0,1991.0,1937.0,0,0,0.004411798572676265,-5.42347283305822,SB1,Female
55.0,1991.0,1936.0,0,0,0.0048993892709302085,-5.318644720219262,SB1,Female
56.0,1991.0,1935.0,0,0,0.0057490943235079355,-5.158712945533858,SB1,Female
57.0,1991.0,1934.0,0,0,0.006138839759101291,-5.093119518994842,SB1,Female
58.0,1991.0,1933.0,0,0,0.00706306253246996,-4.952876535066304,SB1,Female
59.0,1991.0,1932.0,0,0,0.008085036272490992,-4.817740299569687,SB1,Female
