age,yr,cohort,rate,y,D,L,country,gender
50.0,1990.0,1940.0,0.0015463369528817329,-6.471866401153654,1759.06,1137565.778740422,SC1,Female
51.0,1990.0,1939.0,0.001696306640655825,-6.379301955681705,1760.06,1037583.6289360553,SC1,Female
52.0,1990.0,1938.0,0.0018910002064598478,-6.270649380125575,2117.27,1119656.144281313,SC1,Female
53.0,1990.0,1937.0,0.0020317748059202182,-6.1988455792654795,2173.31,1069660.8667788252,SC1,Female
54.0,1990.0,1936.0,0.002366753759264937,-6.046235984590659,2293.39,969002.3691827905,SC1,Female
55.0,1990.0,1935.0,0.0025109210056547798,-5.987105658618637,2552.54,1016575.1906378142,SC1,Female
56.0,1990.0,1934.0,0.0028610926377053286,-5.856551685953807,2699.63,943566.0923461654,SC1,Female
57.0,1990.0,1933.0,0.0031901307655101043,-5.747693370702629,2959.78,927792.6886256429,SC1,Female
58.0,1990.0,1932.0,0.003576063728895991,-5.633492600550027,3034.83,848650.98333606,SC1,Female
59.0,1990.0,1931.0,0.004050029803880975,-5.50903103890781,3378.03,834075.3435352438,SC1,Female
60.0,1990.0,1930.0,0.004333805696828129,-5.4413092091692,3513.11,810629.3280686792,SC1,Female
61.0,1990.0,1929.0,0.005011856197080858,-5.295948934083622,3800.29,758259.9840381431,SC1,Female
62.0,1990.0,1928.0,0.0056738641748711955,-5.17188488104358,3937.37,693948.5822445482,SC1,Female
63.0,1990.0,1927.0,0.00637564912266174,-5.055269369958648,4160.51,652562.5736227856,SC1,Female
64.0,1990.0,1926.0,0.0071653697315389115,-4.938495616585503,4586.76,640128.8658994151,SC1,Female
65.0,1990.0,1925.0,0.007782388994470201,-4.855891919229811,4752.87,610721.2069940433,SC1,Female
66.0,1990.0,1924.0,0.009120422730837323,-4.697239123904625,5008.01,549098.4516613769,SC1,Female
67.0,1990.0,1923.0,0.009876114390152355,-4.617636124926311,5349.23,541633.054122359,SC1,Female
68.0,1990.0,1922.0,0.011502326052567199,-4.465205998625203,5780.48,502548.78653086495,SC1,Female
69.0,1990.0,1921.0,0.013286199763763905,-4.32102939419324,6392.85,481164.6756535702,SC1,Female
70.0,1990.0,1920.0,0.015148287418968138,-4.189867795068716,6696.03,442032.1462619908,SC1,Female
71.0,1990.0,1919.0,0.017182708522572383,-4.0638517192893575,6604.98,384396.90642038453,SC1,Female
72.0,1990.0,1918.0,0.01888318158505758,-3.9694836163043243,7425.47,393231.9332180673,SC1,Female
73.0,1990.0,1917.0,0.022298829589161816,-3.8032210866843887,8170.92,366428.2005173678,SC1,Female
74.0,1990.0,1916.0,0.025732968707621415,-3.659982280112853,9201.55,357578.25319527736,SC1,Female
75.0,1990.0,1915.0,0.02974287404408922,-3.5151657036116686,9892.96,332616.1414440048,SC1,Female
76.0,1990.0,1914.0,0.03419347242561628,-3.3757205178786336,10640.41,311182.4931833674,SC1,Female
77.0,1990.0,1913.0,0.03987757604153936,-3.2219411170411902,11700.05,293399.22737060004,SC1,Female
78.0,1990.0,1912.0,0.04544001553653755,-3.0913621626560612,12630.61,277962.2729187656,SC1,Female
79.0,1990.0,1911.0,0.0514948541491159,-2.9662733957393685,13374.05,259716.2419622003,SC1,Female
80.0,1990.0,1910.0,0.059529484224371,-2.82128355598387,14187.55,238328.1189960605,SC1,Female
81.0,1990.0,1909.0,0.06899590791211636,-2.6737080817650276,14640.82,212198.38165835524,SC1,Female
82.0,1990.0,1908.0,0.0814967423653026,-2.507192230512063,14833.93,182018.68650783732,SC1,Female
83.0,1990.0,1907.0,0.09481119400715712,-2.3558677964478107,14523.75,153186.02568071897,SC1,Female
84.0,1990.0,1906.0,0.10975823629705203,-2.209475183855859,13490.13,122907.67832210808,SC1,Female
50.0,1991.0,1941.0,0.0015388198323086218,-6.476739499003978,1858.94,1208029.6607635452,SC1,Female
51.0,1991.0,1940.0,0.0017004965306967196,-6.376834993685692,1832.93,1077879.2940253871,SC1,Female
52.0,1991.0,1939.0,0.0017968101877275243,-6.321742304067672,1912.97,1064647.7925525268,SC1,Female
53.0,1991.0,1938.0,0.0020331538915603123,-6.198167050417552,2306.17,1134282.0676649152,SC1,Female
54.0,1991.0,1937.0,0.002280334464236796,-6.083433151933724,2473.25,1084599.6667544867,SC1,Female
55.0,1991.0,1936.0,0.0025448763253954503,-5.973673225289922,2636.34,1035940.3220077256,SC1,Female
56.0,1991.0,1935.0,0.002979595056157275,-5.815967874893871,2736.39,918376.4734557817,SC1,Female
57.0,1991.0,1934.0,0.0031797035902372717,-5.750967297151641,2817.42,886063.7226219448,SC1,Female
58.0,1991.0,1933.0,0.0036420061909903942,-5.615220597790633,3219.63,884026.5038441534,SC1,Female
59.0,1991.0,1932.0,0.004135763595690957,-5.488083301124526,3410.73,824691.7216336137,SC1,Female
60.0,1991.0,1931.0,0.004551402596746983,-5.392319830501246,3519.78,773339.6299671858,SC1,Female
61.0,1991.0,1930.0,0.004989742445730546,-5.300370984632817,3749.9,751521.7550373942,SC1,Female
62.0,1991.0,1929.0,0.005803553402526816,-5.149284893418521,3986.02,686824.0409857385,SC1,Female
